USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
415740,99999,RAWALAKOT*,PK,,,33.85,73.8,1677.0,20081029,20081130
415760,99999,MANGLA*,PK,,,33.067,73.633,283.0,20081130,20081130
415770,99999,ISLAMABAD CITY,PK,,,33.717,73.1,525.0,20050727,20211108
415840,99999,MIRANSHAH AIRPORT,PK,,,32.983,70.117,921.0,19440102,20031024
415900,99999,KHUSHAB,PK,,,32.3,72.35,186.0,19540101,20020522
415920,99999,MIANWALI,PK,,OPMI,32.563,71.571,210.3,19440101,20221216
415930,99999,SARGODHA,PK,,,32.05,72.667,187.0,20040812,20210926
415940,99999,SARGODHA,PK,,OPSR,32.05,72.667,188.0,19730101,20230505
415970,99999,MANDI BAHAUDDIN,PK,,,32.583,73.5,253.0,20050727,20180129
415980,99999,JHELUM,PK,,,32.933,73.717,234.0,19730101,20230505
415990,99999,SIALKOT,PK,,OPST,32.5,74.533,255.0,20090104,20220928
416000,99999,SIALKOT CITY,PK,,OPXG,32.5,74.533,250.0,19440101,20230505
416240,99999,D I KHAN,PK,,OPDI,31.909,70.897,181.1,19440101,20230505
416300,99999,FAISALABAD,PK,,,31.433,73.1,184.0,19440101,20230505
416360,99999,JHANG,PK,,,31.267,72.317,153.0,20050803,20230501
416380,99999,TOBA TEK SINGH,PK,,,30.983,72.467,156.0,20081029,20180129
416400,99999,LAHORE CITY,PK,,OPLH,31.55,74.333,214.0,19440101,20230505
416410,99999,ALLAMA IQBAL INTL,PK,,OPLA,31.522,74.404,217.0,19761201,20211108
416460,99999,OKARA,PK,,,30.8,73.433,180.0,20081029,20081130
416520,99999,DERA GHAZI KHAN,PK,,,30.05,70.633,125.0,19730101,20081130
416711,99999,LAYYAH,PK,,OPXH,31.017,70.967,151.0,20160513,20230505
416720,99999,RAFIQUI,PK,,,30.783,72.2,150.0,19750905,20211108
416750,99999,MULTAN INTL,PK,,OPMT,30.203,71.419,121.9,19440101,20230505
416780,99999,BAHAWALNAGAR,PK,,,29.95,73.25,163.0,19730101,20230505
417000,99999,BAHAWALPUR CITY,PK,,OPXM,29.4,71.783,112.0,19440101,20230505
417010,99999,BAHAWALPUR,PK,,,29.4,71.783,117.0,20090519,20210823
417160,99999,SHEIKH ZAYED,PK,,OPRK,28.384,70.28,82.6,20081029,20200323
417180,99999,KHANPUR,PK,,,28.65,70.683,88.0,19440101,20230505
418500,99999,TETULIA  PANCHAGOR,BG,,,26.35,88.6,55.0,20160217,20230505
418520,99999,THAKURGAON,BG,,,26.017,88.4,-999.9,19730107,20050221
418580,99999,SAIDPUR,BG,,,25.75,88.917,39.0,19440101,20230505
418590,99999,RANGPUR,BG,,,25.733,89.233,34.0,19811213,20230505
418620,99999,LALMONIRHAT,BG,,VGLM,25.883,89.483,34.0,19430709,19460330
418621,99999,RAJARHAT KURIGRAM,BG,,,25.8,89.55,31.0,20150218,20230505
418630,99999,DINAJPUR,BG,,,25.65,88.683,37.0,19440101,20230505
420260,99999,GULMARG,IN,,,34.05,74.4,2655.0,19440601,20230505
420270,99999,SRINAGAR,IN,,,34.083,74.833,1587.0,19730101,20230505
420290,99999,SONAMARG,IN,,,34.317,75.317,2515.0,19740613,20211224
420300,99999,DRAS,IN,,,34.433,75.767,3066.0,19440101,20070426
420340,99999,LEH               &,IN,,,34.15,77.567,3513.0,19440101,19481106
420420,99999,SRINAGAR,IN,,,33.983,74.783,1664.0,19881026,20190213
420440,99999,QAZI GUND,IN,,,33.583,75.083,1690.0,20090205,20230505
420450,99999,BANIHAL,IN,,,33.5,75.167,1630.0,20021023,20230505
420550,99999,JAMMU (IN-AFB),IN,,,32.683,74.833,314.0,19730101,19910719
420560,99999,JAMMU,IN,,,32.667,74.833,367.0,19830902,20230505
420570,99999,PATHANKOT (IN-AFB)&,IN,,,32.233,75.633,312.0,19730102,19750831
420590,99999,DALHOUSIE,IN,,,32.533,75.967,1959.0,19440601,20060101
420600,99999,KATHUA,IN,,,32.333,75.5,380.0,20011121,20180316
420620,99999,DHARMSALA,IN,,,32.267,76.383,1211.0,19730101,20230505
420630,99999,KYELONG,IN,,,32.583,77.067,3348.0,20170926,20200306
420650,99999,MANALI,IN,,,32.267,77.167,2039.0,19990223,20230505
420710,99999,AMRITSAR,IN,,VIAR,31.71,74.797,230.4,19730101,20230505
420740,99999,KAPURTHALA,IN,,,31.333,75.333,229.0,20020214,20160509
420750,99999,JULLUNDUR,IN,,,31.467,75.583,-999.9,20180918,20220912
420770,99999,UNA,IN,,,31.467,76.267,369.0,20090205,20230505
420780,99999,MANDI,IN,,,31.717,76.967,761.0,19590602,20230505
420790,99999,SUNDERNAGAR,IN,,,31.533,76.9,874.0,20130529,20230505
420800,99999,BILASPUR,IN,,,31.25,76.667,587.0,19590602,19971222
420810,99999,BHUNTAR,IN,,,31.833,77.167,1084.0,20020903,20230505
420830,99999,SHIMLA,IN,,,31.1,77.167,2202.0,19440101,20230505
420960,99999,FEROZEPUR,IN,,,30.917,74.667,200.0,19730101,19900317
420970,99999,BHATINDA,IN,,,30.167,74.583,211.0,20200213,20200213
420980,99999,HALWARA,IN,,,30.75,75.633,241.0,19440101,19481231
420990,99999,LUDHIANA,IN,,,30.867,75.933,255.0,19730101,20230505
421010,99999,PATIALA,IN,,,30.333,76.467,251.0,19730101,20230505
421030,99999,AMBALA,IN,,,30.383,76.767,272.0,19440101,20230505
421040,99999,NAHAN,IN,,,30.4,76.767,958.0,19881016,20230505
421050,99999,CHANDIGARH(IAFB),IN,,,30.733,76.883,347.0,19740101,20230505
421070,99999,DHARMPUR,IN,,,30.9,77.017,1986.0,19990701,20021214
421080,99999,UTTARKASHI,IN,,,30.733,78.45,1200.0,19990420,20190201
421100,99999,PAURI,IN,,,30.15,78.783,1845.0,20190315,20190315
421110,99999,DEHRADUN,IN,,,30.317,78.033,682.0,19440101,20230505
421120,99999,MUSSOORIE,IN,,,30.45,78.083,2042.0,19540101,20201209
421140,99999,TEHRI,IN,,,30.4,78.483,770.0,19981224,20230505
421160,99999,JOSHIMATH,IN,,,30.55,79.567,1875.0,19730101,20021002
421170,99999,CHAMOLI,IN,,,30.4,79.333,1160.0,19990211,20200307
421210,99999,MUNSYARI,IN,,,30.117,80.25,3414.0,20011024,20210420
421220,99999,ANUPGARH,IN,,,29.167,73.167,154.0,19440101,20220805
421230,99999,GANGANAGAR,IN,,,29.917,73.917,177.0,19440101,20230505
421310,99999,HISSAR,IN,,VIHR,29.179,75.755,213.4,19440101,20230505
421350,99999,SANGRUR,IN,,,30.167,75.833,236.0,19831001,20180519
421370,99999,KARNAL,IN,,,29.7,77.033,249.0,19730109,20230505
421390,99999,MEERUT,IN,,,29.017,77.717,222.0,19440603,20230505
421400,99999,ROORKEE,IN,,,29.85,77.883,274.0,19440101,20180810
421430,99999,NAJIBABAD,IN,,,29.617,78.383,270.0,19730101,20230505
421460,99999,NAINITAL,IN,,,29.4,79.467,1953.0,19730103,19790214
421470,99999,MUKTESHWAR KUMAON,IN,,,29.467,79.65,2311.0,19440101,20230505
421480,99999,PANTNAGAR,IN,,,29.033,79.467,233.0,20070520,20230505
421510,99999,DHARCHULA,IN,,,29.85,80.533,817.0,19831002,20230321
421650,99999,BIKANER,IN,,,28.0,73.3,224.0,19440101,20230505
421700,99999,CHURU,IN,,,28.25,74.917,291.0,19730101,20230505
421740,99999,PILANI,IN,,,28.333,75.583,301.0,20020630,20230505
421760,99999,ROHTAK,IN,,,28.833,76.583,222.0,20010728,20230505
421770,99999,NARNAUL,IN,,,28.0,76.083,308.0,20020219,20230505
421780,99999,GURGAON,IN,,,28.417,77.0,224.0,20010718,20200513
421810,99999,INDIRA GANDHI INTL,IN,,VIDP,28.567,77.103,236.8,19750307,20230505
421820,99999,SAFDARJUNG,IN,,VIDD,28.585,77.206,214.9,19420702,20230505
421830,99999,BULANDSHAHR,IN,,,28.4,77.867,218.0,20010823,20210416
421870,99999,MORADABAD,IN,,,28.833,78.75,202.0,19830915,20230504
421880,99999,RAMPUR,IN,,,28.75,79.0,191.0,19990709,20211124
421890,99999,BAREILLY,IN,,VIBY,28.422,79.451,176.8,19440101,20230505
421900,99999,PILIBHIT,IN,,,28.633,79.8,188.0,20020725,20020725
422200,99999,PASIGHAT,IN,,,28.1,95.383,157.0,19740403,20230505
422370,99999,PHALODI,IN,,,27.133,72.367,234.0,19440101,20230505
422420,99999,NAGAUR,IN,,,27.167,73.667,298.0,20010723,20020817
422490,99999,SIKAR,IN,,,27.617,75.133,433.0,19730101,20230505
422550,99999,ALWAR,IN,,,27.5,76.583,271.0,19730101,20230505
422570,99999,MATHURA,IN,,,27.5,77.683,174.0,20020418,20021216
422580,99999,BHARATPUR,IN,,,27.217,77.5,176.0,20020214,20181129
422600,99999,AGRA,IN,,VIAG,27.156,77.961,167.9,19420824,20230505
422610,99999,AGRA,IN,,,27.167,78.033,169.0,19440101,20021224
422620,99999,ALIGARH,IN,,,27.883,78.067,187.0,19730101,20230505
422650,99999,MAINPURI,IN,,,27.233,79.05,157.0,19440101,20210303
422660,99999,SHAHJAHANPUR,IN,,,27.883,79.9,155.0,20090205,20230505
422700,99999,KHERI,IN,,,27.9,80.8,147.0,19730101,20171124
422710,99999,HARDOI,IN,,,27.383,80.167,142.0,19730101,20230505
422730,99999,BAHRAICH,IN,,,27.567,81.6,124.0,19440101,20230505
422740,99999,GONDA,IN,,,27.133,81.967,110.0,19730101,20171008
422790,99999,BASTI,IN,,,26.8,82.733,89.0,20160804,20190926
422820,99999,NAUTANWA,IN,,,27.433,83.417,99.0,19730101,20191117
422950,99999,DARJEELING,IN,,,27.05,88.267,2128.0,19440101,20230311
422960,99999,KALIMPONG,IN,,,27.067,88.467,1209.0,20151207,20230505
422990,99999,GANGTOK,IN,,,27.333,88.617,1756.0,19740902,20230505
423050,99999,BOMDILA,IN,,,27.417,92.85,2484.0,20020727,20201227
423090,99999,LILABARI,IN,,VELR,27.295,94.098,100.6,19431223,20230505
423110,99999,SIBSAGAR,IN,,,26.983,94.633,97.0,19440101,20160117
423120,99999,ZIRO,IN,,,27.917,94.8,1476.0,20010802,20171105
423140,99999,DIBRUGARH,IN,,VEMN,27.484,95.017,110.3,19420714,20230505
423160,99999,DIGBOI,IN,,,27.383,95.617,143.0,19440901,20160805
423280,99999,JAISALMER,IN,,,26.9,70.917,231.0,19730101,20230505
423390,99999,JODHPUR,IN,,VIJO,26.251,73.049,218.5,19430731,20230505
423430,99999,AJMER,IN,,,26.45,74.617,486.0,19440101,20230505
423480,99999,JAIPUR,IN,,VIJP,26.824,75.812,385.0,19440101,20230505
423490,99999,TONK,IN,,,26.167,75.75,272.0,19990514,20210712
423530,99999,SUPAUL,IN,,,26.133,86.583,49.0,20200815,20220326
423540,99999,DHOLPUR,IN,,,26.667,77.833,176.0,19730101,20090205
423580,99999,BHIND,IN,,,26.567,78.8,168.0,20020328,20021208
423610,99999,GWALIOR,IN,,VIGR,26.293,78.228,188.1,19440101,20230505
423640,99999,ETAWAH,IN,,,26.733,78.983,151.0,20010711,20200423
423660,99999,KANPUR,IN,,,26.433,80.367,125.0,19450621,20180217
423670,99999,KANPUR CHAKERI,IN,,VICX,26.404,80.41,123.4,19440101,20230505
423680,99999,LUCKNOW,IN,,,26.867,80.933,111.0,19730101,20211125
423690,99999,LUCKNOW,IN,,VILK,26.761,80.889,125.0,19440101,20230505
423720,99999,FURSATGANJ AIRPORT,IN,,VERB,26.25,81.383,109.7,20130529,20230505
423740,99999,FAIZABAD,IN,,,26.75,82.083,102.0,20020203,20181003
423750,99999,SULTANPUR,IN,,,26.25,82.0,97.0,19990614,20190527
423790,99999,GORAKHPUR,IN,,VEGK,26.74,83.45,78.9,19440101,20230505
423810,99999,AZAMGARH,IN,,,26.05,83.217,78.0,19730101,19800626
423820,99999,RAXAUL,IN,,,26.983,84.85,79.0,19730101,20230126
423830,99999,MOTIHARI,IN,,,26.667,84.917,66.0,19440101,20230505
423870,99999,MUZAFFARPUR,IN,,,26.117,85.4,53.0,19740515,20230505
423900,99999,MUZAFFARPUR AERODROME,IN,,,26.117,85.317,53.0,20011029,20170327
423910,99999,DARBHANGA,IN,,,26.167,85.9,49.0,19440101,20230505
423930,99999,SUPAUL,IN,,,26.133,86.583,50.0,20010905,20230505
423950,99999,FORBESGANJ,IN,,,26.3,87.267,61.0,19730101,20230505
423970,99999,SILIGURI,IN,,,26.667,88.367,123.0,19990213,20230501
423980,99999,BAGDOGRA,IN,,VEBD,26.681,88.329,125.6,19570618,20230505
423990,99999,JALPAIGURI,IN,,,26.533,88.717,83.0,19440101,20230505
424030,99999,COOCH BEHAR,IN,,,26.333,89.467,43.0,19430220,20230505
424040,99999,DHUBRI,IN,,,26.017,89.983,36.0,19440101,20230505
424060,99999,DHUBRI/RUPSI,IN,,,26.15,89.917,45.0,19450630,19450930
424070,99999,GOALPARA,IN,,,26.183,90.633,38.0,19730102,20230505
424080,99999,RANGIA,IN,,,26.433,91.617,60.0,20151207,20230428
424090,99999,TANGLA,IN,,,26.65,91.917,65.0,19740221,20230219
424100,99999,GUWAHATI INTL,IN,,VEGT,26.106,91.586,49.4,19440102,20230505
424130,99999,MAJBAT,IN,,,26.75,92.35,120.0,20011009,20230505
424140,99999,CHAPARMUKH,IN,,,26.2,92.517,66.0,19730103,20230504
424150,99999,TEZPUR,IN,,,26.617,92.783,79.0,19440101,20230505
424160,99999,TEZPUR/BINDUKURI,IN,,,26.717,92.8,75.0,19430510,20210702
424190,99999,GOHPUR,IN,,,26.833,93.583,82.0,19831028,20071017
424200,99999,GOLAGHAT,IN,,,26.517,93.983,95.0,19740806,20230505
424230,99999,JORHAT,IN,,,26.067,90.167,880.0,19430414,20230505
424231,99999,JORHAT,IN,,VEJT,26.732,94.176,94.8,20160807,20230505
424260,99999,TUENSANG,IN,,,26.267,94.817,1608.0,20201206,20221121
424350,99999,BARMER,IN,,,25.75,71.383,194.0,19440101,20230505
424390,99999,JALORE,IN,,,25.35,72.617,168.0,20151208,20200407
424410,99999,ERINPURA /JAWAI DAM SITE,IN,,,25.083,73.083,295.0,19450801,20230505
424470,99999,BHILWARA,IN,,,25.35,74.633,425.0,20020917,20230505
424500,99999,BUNDI,IN,,,25.45,75.633,267.0,20090205,20230505
424510,99999,KOTA-IN-RAJASTHAN,IN,,,25.183,75.85,256.0,19440101,19780502
424520,99999,KOTA,IN,,VIKO,25.16,75.846,273.1,19730101,20230505
424530,99999,SAWAI MADHOPUR,IN,,,25.983,76.367,264.0,20010822,20211112
424560,99999,SHEOPUR,IN,,,25.667,76.683,235.0,19730101,20211114
424590,99999,SHIVPURI,IN,,,25.333,77.65,464.0,20020528,20230505
424600,99999,DATIA,IN,,,25.667,78.467,229.0,20020417,20230505
424630,99999,JHANSI,IN,,VIJN,25.491,78.558,244.1,19440101,20230505
424670,99999,NOWGONG,IN,,,25.067,79.45,229.0,19440101,20230505
424680,99999,ORAI,IN,,,25.983,79.5,141.0,20040508,20230505
424690,99999,HAMIRPUR,IN,,,25.95,80.15,109.0,20090205,20230505
424710,99999,FATEHPUR,IN,,,25.933,80.833,114.0,19730101,20210916
424720,99999,PRATAPGARH,IN,,,25.9,81.95,99.0,20161018,20180706
424730,99999,BANDA,IN,,,25.467,80.367,121.0,20040902,20230505
424750,99999,ALLAHABAD ARPT,IN,,VEAB,25.44,81.734,98.2,19420727,20230505
424770,99999,JAUNPUR,IN,,,25.75,82.683,80.0,20170531,20230224
424790,99999,LAL BAHADUR SHASTRI,IN,,VEBN,25.45,82.867,81.1,19730101,20230505
424820,99999,GHAZIPUR,IN,,,25.4,83.55,67.0,20010718,20230505
424830,99999,VARANASI,IN,,,25.3,83.017,90.0,19440101,20230505
424840,99999,BALLIA,IN,,,25.75,84.167,64.0,20020217,20230418
424870,99999,ARRAH,IN,,,25.567,84.667,58.0,20170508,20220216
424880,99999,CHAPRA,IN,,,25.783,84.733,58.0,20051019,20230505
424920,99999,PATNA,IN,,VEPT,25.591,85.088,51.8,19440101,20230505
424980,99999,BHAGALPUR,IN,,,25.233,86.95,49.0,19570102,20230505
424990,99999,SABAUR,IN,,,25.233,87.067,37.0,20020614,20230505
425000,99999,PURNEA,IN,,,25.267,87.467,38.0,19440101,20230505
425030,99999,MALDA,IN,,,25.033,88.133,31.0,19730101,20230505
425060,99999,BALURGHAT,IN,,,25.217,88.783,26.0,20151207,20230505
425110,99999,TURA,IN,,,25.517,90.233,370.0,19730101,20021123
425120,99999,SHILLONG ARPT/UMROI ARPT,IN,,VEBI,25.7,91.983,891.2,20151208,20230505
425150,99999,CHERRAPUNJI,IN,,,25.25,91.733,1313.0,19440101,20230505
425160,99999,SHILLONG,IN,,,25.567,91.883,1598.0,19440101,20230505
425220,99999,HAFLONG,IN,,,25.167,93.017,682.0,20151207,20230505
425230,99999,LUMDING,IN,,,25.75,93.183,149.0,19730101,20230505
